earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2022-12-11 14:31:29.051000,17.1801,2022-12-11,-100.53,0.123,0.0,0.031,0.0,95.6,13.1,0.141,0.021,,6.0
2022-12-04 19:24:15.394000,-15.3497,2022-12-04,-172.9867,0.104,0.0,0.021,0.0,84.2,17.0,0.154,0.028,,6.8
2022-11-23 01:08:15.435000,40.8356,2022-11-23,30.9831,0.141,0.0,0.038,0.0,109.4,10.0,0.098,0.02,,6.1
2022-11-22 16:39:05.789000,30.7936,2022-11-22,-116.3907,0.137,0.0,0.039,0.0,107.3,9.8,0.105,0.02,,6.2
2022-11-22 02:37:57.529000,-9.8203,2022-11-22,159.4589,0.152,0.0,0.021,0.0,127.8,17.2,0.233,0.028,,6.0
2022-11-22 02:03:06.891000,-9.8198,2022-11-22,159.6033,0.152,0.0,0.021,0.0,127.7,17.2,0.233,0.028,,7.0
2022-11-18 13:37:08.687000,-4.9043,2022-11-18,100.7862,0.138,0.0,0.026,0.0,123.1,17.7,0.222,0.028,,6.9
2022-11-14 08:08:26.124000,33.8139,2022-11-14,137.3055,0.111,0.0,0.031,0.0,99.3,12.6,0.116,0.021,,6.1
2022-11-14 05:04:11.890000,-26.0027,2022-11-14,178.2034,0.129,0.0,0.053,0.0,113.9,11.1,0.121,0.028,,6.1
2022-11-13 02:24:57.830000,-37.4652,2022-11-13,-73.6757,0.239,0.0,0.037,0.0,122.9,13.8,0.32,0.028,,6.2
2022-11-12 07:09:13.514000,-20.1112,2022-11-12,-178.3453,0.112,0.0,0.032,0.0,96.8,14.8,0.138,0.028,,7.0
2022-11-11 10:48:46.710000,-19.2881,2022-11-11,-172.1471,0.168,0.0,0.028,0.0,141.7,15.5,0.217,0.028,,7.3
2022-11-09 10:14:33.810000,-25.5781,2022-11-09,178.2612,0.122,0.0,0.051,0.0,107.9,11.4,0.117,0.028,,6.6
2022-11-09 09:51:04.068000,-26.0901,2022-11-09,178.3427,0.136,0.0,0.053,0.0,119.9,11.2,0.128,0.028,,7.0
2022-11-09 09:38:42.828000,-26.0077,2022-11-09,178.2776,0.134,0.0,0.053,0.0,118.0,11.1,0.126,0.028,,6.8
2022-11-04 10:02:46.346000,28.1573,2022-11-04,-112.3106,0.134,0.0,0.037,0.0,105.7,10.2,0.11,0.02,,6.1
2022-11-02 14:17:53.832000,-60.7841,2022-11-02,-25.7774,0.208,0.0,0.042,0.0,108.6,16.2,0.15,0.021,,6.1
2022-11-02 04:53:13.239000,31.5042,2022-11-02,-133.351,0.173,0.0,0.037,0.0,133.4,10.2,0.149,0.02,,6.0
2022-10-25 14:59:00.085000,17.6609,2022-10-25,120.8147,0.133,0.0,0.025,0.0,109.0,20.4,0.232,0.026,,6.4
2022-10-25 00:13:01.678000,-58.7769,2022-10-25,-26.1414,0.319,0.0,0.041,0.0,160.3,14.9,0.231,0.022,,6.3
2022-10-20 11:57:12.575000,7.6901,2022-10-20,-82.3342,0.179,0.0,0.027,0.0,121.6,16.5,0.264,0.022,,6.7
2022-10-16 12:48:21.665000,4.3584,2022-10-16,-87.5675,0.122,0.0,0.026,0.0,78.1,18.4,0.2,0.024,,6.3
2022-10-13 22:20:20.620000,-4.812,2022-10-13,153.5906,0.148,0.0,0.027,0.0,115.1,17.9,0.257,0.027,,6.4
2022-10-09 16:38:04.811000,-1.3636,2022-10-09,-23.9041,0.211,0.0,0.024,0.0,119.5,17.6,0.352,0.028,,6.2
2022-10-01 01:18:53.386000,53.7049,2022-10-01,-35.5074,0.288,0.0,0.061,0.0,171.9,13.6,0.117,0.014,,6.0
2022-09-29 03:03:24.073000,-60.8308,2022-09-29,-20.025,0.212,0.0,0.044,0.0,109.0,17.3,0.151,0.02,,6.5
2022-09-23 22:53:27.870000,-41.3788,2022-09-23,-75.5767,0.197,0.0,0.049,0.0,107.0,11.9,0.24,0.028,,6.1
2022-09-23 20:52:58.398000,3.8109,2022-09-23,96.0514,0.13,0.0,0.026,0.0,96.5,41.4,0.257,0.019,,6.2
2022-09-22 06:16:09.459000,18.2633,2022-09-22,-102.9554,0.123,0.0,0.031,0.0,96.5,12.8,0.138,0.021,,6.8
2022-09-20 18:23:42.896000,55.5042,2022-09-20,166.3282,0.264,0.0,0.054,0.0,179.1,10.8,0.124,0.015,,6.0
2022-09-19 18:05:08.217000,18.4552,2022-09-19,-102.9561,0.123,0.0,0.031,0.0,96.7,12.7,0.138,0.021,,7.6
2022-09-18 06:44:13.846000,23.138,2022-09-18,121.3439,0.128,0.0,0.027,0.0,115.4,17.2,0.188,0.023,,6.9
2022-09-17 13:41:17.890000,23.1191,2022-09-17,121.4138,0.124,0.0,0.027,0.0,112.1,17.2,0.182,0.023,,6.5
2022-09-14 11:04:06.558000,-21.1909,2022-09-14,170.2666,0.108,0.0,0.041,0.0,97.4,13.2,0.119,0.028,,7.0
2022-09-10 23:47:00.233000,-6.2944,2022-09-10,146.5038,0.147,0.0,0.022,0.0,121.8,17.5,0.24,0.028,,7.6
2022-09-10 23:10:43.721000,-1.149,2022-09-10,98.654,0.133,0.0,0.033,0.0,108.9,24.6,0.242,0.024,,6.0
2022-09-10 00:05:12.947000,-2.2313,2022-09-10,138.1784,0.143,0.0,0.032,0.0,108.5,21.1,0.261,0.026,,6.2
2022-09-09 23:31:47.409000,-2.2492,2022-09-09,138.1979,0.143,0.0,0.032,0.0,108.4,21.2,0.261,0.026,,6.2
2022-09-05 04:52:19.645000,29.6786,2022-09-05,102.236,0.1,0.0,0.03,0.0,98.0,13.4,0.108,0.021,,6.6
2022-09-04 23:57:31.734000,-56.0375,2022-09-04,-124.478,0.257,0.0,0.042,0.0,176.8,12.4,0.138,0.023,,6.2
2022-09-04 09:42:18.219000,-0.9339,2022-09-04,-21.7155,0.209,0.0,0.024,0.0,120.3,17.6,0.345,0.028,,6.9
2022-09-02 22:39:51.520000,-5.6524,2022-09-02,148.7121,0.147,0.0,0.026,0.0,117.1,17.7,0.25,0.028,,6.1
2022-08-30 09:09:43.266000,-54.6506,2022-08-30,-136.1522,0.262,0.0,0.041,0.0,178.5,13.0,0.129,0.023,,6.3
